Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
,43.2485677,-79.8215868,Shorty's Pizza,Pizza,310.0435358643042,"1099 Cannon Street E, Hamilton, ON L8L 2J6, Canada",Hamilton,4,7.00
,43.24584,-79.81808,Mike's Subs,Sandwiches,188.71617777743373,"122 Ottawa Street N, Hamilton, ON L8H 3Z1, Canada",Hamilton,4,7.00
,43.2530719,-79.8232905,Purple Pear,"Seafood, Steakhouses",745.0106674818638,"946 Barton Street E, Hamilton, ON L8E 5H3, Canada",Hamilton,4.5,7.00
,43.24474,-79.81852,Hammerhead's On Ottawa,Fish & Chips,316.0413710413299,"80 Ottawa Street N, Hamilton, ON L8H 3Z1, Canada",Hamilton,4.5,7.00
,43.246309,-79.818385,Boardwalk Cheesesteaks,"Cheesesteaks, Sandwiches",143.42202088646593,"131 Ottawa Street North, Hamilton, ON L8L 1Y5, Canada",Hamilton,4.5,7.00
,43.248745,-79.816929,Cafe Limoncello,Italian,159.54475114677547,"226 Ottawa St N, Hamilton, ON L8H 3Z6, Canada",Hamilton,2.5,7.00
,43.24172,-79.82224,Cafe Baffico,Cafes,733.3641732135558,"1375 King Street E, Hamilton, ON L8M 1H6, Canada",Hamilton,4.5,7.00
,43.25024136,-79.81646609,The Hearty Hooligan,"Cafes, Bakeries",324.0467984342939,"292 Ottawa Street N, Hamilton, ON L8H 3Z9, Canada",Hamilton,4.5,7.00
,43.24632,-79.81782,Power Pizza,"Pizza, Chicken Wings, Salad",138.20016449720094,"134 Ottawa Street N, Unit 4 & 5, Hamilton, ON L8H 3Z3, Canada",Hamilton,3,7.00
,43.248686,-79.817039,Mr Beast Burger,"Burgers, Fast Food",149.39272003658067,"224 Ottawa Street N, Hamilton, ON L8H 3Z6, Canada",Hamilton,4,7.00
,43.24857,-79.8213948,Bernie’s Tavern,"Modern European, Beer Bar",293.01858219789494,"1101-1103 Cannon St E, Hamilton, ON L8L 2J5, Canada",Hamilton,3.5,7.00
,43.24803,-79.81718,Ottawa Market,"Florists, Cafes, Grocery",85.06481917,"204 Ottawa St N, Hamilton, ON L8H 3Z5, Canada",Hamilton,5,7.00
,43.2462118,-79.8184547,Das Schnitzel,"Soup, Burgers, Sandwiches",143.37669678581426,"131 Ottawa Street N, Hamilton, ON L8L 1Y5, Canada",Hamilton,5,7.00
,43.24506,-79.82929,Gage Park Diner,"Diners, Breakfast & Brunch, American",951.8399882146276,"975 Main Street E, Hamilton, ON L8M 1N2, Canada",Hamilton,4,7.00
,43.24567017,-79.80732512,Food Box,"Burgers, Fish & Chips, Salad",893.8838123831741,"180 Kenilworth Avenue N, Hamilton, ON L8H 4S1, Canada",Hamilton,4,7.00
,43.250742261944495,-79.81686184,Crown & Press,"Art Galleries, Cafes",366.1394150204216,"303 Ottawa Street N, Hamilton, ON L8H 3Z8, Canada",Hamilton,5,7.00
,43.24986308,-79.80744816,Sunset Grill,"Breakfast & Brunch, Diners, Canadian (New)",895.8992598831026,"1299 Barton St E, Hamilton, ON L8H 2W1, Canada",Hamilton,3.5,7.00
,43.24463276888966,-79.81867474,JoyInn Restaurant,"Chinese, Seafood, Soup",329.9823398030906,"74 Ottawa Street N, Hamilton, ON L8H 3Z1, Canada",Hamilton,2.5,7.00
,43.24067,-79.81236,Rankin's Bar & Grill,"Bars, Canadian (New)",892.1022516538264,"1342 Main Street E, Hamilton, ON L8K 1B5, Canada",Hamilton,4,7.00
,43.2518983,-79.8189248,The Indian Connection Pizza,"Indian, Pizza",486.9849702650825,"1022 Barton Street E, Hamilton, ON L8L 3E4, Canada",Hamilton,5,7.00
,43.250709,-79.810321,Boston Pizza,"Italian, Pizza",716.9957193459804,"1219 Barton St E, Hamilton, ON L8H 2V4, Canada",Hamilton,2.5,7.00
,43.25011,-79.81131,Harvey's,"Burgers, Fast Food, American",605.6292025867375,"1200 Barton St E, Hamilton, ON L8H 2V7, Canada",Hamilton,2,7.00
,43.25104,-79.81561,Papa Johns Pizza,Pizza,415.5525270807301,"1096 Barton Street E, Hamilton, ON L8H 2V1, Canada",Hamilton,2,7.00
